sex,age_p12,header
0,0,"P0120003"
0,1,"P0120004"
0,2,"P0120005"
0,3,"P0120006"
0,4,"P0120007"
0,5,"P0120008"
0,6,"P0120009"
0,7,"P0120010"
0,8,"P0120011"
0,9,"P0120012"
0,10,"P0120013"
0,11,"P0120014"
0,12,"P0120015"
0,13,"P0120016"
0,14,"P0120017"
0,15,"P0120018"
0,16,"P0120019"
0,17,"P0120020"
0,18,"P0120021"
0,19,"P0120022"
0,20,"P0120023"
0,21,"P0120024"
0,22,"P0120025"
1,0,"P0120027"
1,1,"P0120028"
1,2,"P0120029"
1,3,"P0120030"
1,4,"P0120031"
1,5,"P0120032"
1,6,"P0120033"
1,7,"P0120034"
1,8,"P0120035"
1,9,"P0120036"
1,10,"P0120037"
1,11,"P0120038"
1,12,"P0120039"
1,13,"P0120040"
1,14,"P0120041"
1,15,"P0120042"
1,16,"P0120043"
1,17,"P0120044"
1,18,"P0120045"
1,19,"P0120046"
1,20,"P0120047"
1,21,"P0120048"
1,22,"P0120049"